,index,condo_price,maint_fee,avg_income_household_yr,avg_income_individual_yr,total_sqft,price_per_sqft,toronto_region,bedrooms,bath,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_grocery_stores,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Asian_language,speak_Africa_language,speak_middleEast_language,edu_no_diploma,edu_high_school,edu_trade_cert,edu_coll_or_univ_cert,edu_ba_or_msc_cert,population_0_14_years,population_15_19_years,population_20_34_years,population_35_49_years,population_50_64_years,population_65_and_more,tenancy_property_type_owned,tenancy_property_type_rented,tenancy_property_type_detached,tenancy_property_type_semi_detached,tenancy_property_type_duplex,tenancy_property_type_low_rise,tenancy_property_type_high_rise,household_compo_singlefamily,household_compo_multifamily,household_compo_singleperson,household_compo_multiperson,latitude,longitude,bedrooms_plus_field,cluster_nbr,criminal_records
848,848,599900,733.92,60304,25270,949,634,North York,2,1,1,48.0,43,49,0,0,42,40,12,22,0,0,18,36,4,18,23,16,6,36,18,15,9,27,73,6,1,1,4,82,56,3,27,14,43.76292579,-79.50014354,0,1,36
849,849,1249000,1390.82,104616,46385,1569,796,Midtown | Central,2,3,1,39.0,50,18,3,9,88,69,5,7,0,3,6,20,2,20,50,7,3,39,22,17,12,22,78,1,1,0,9,88,36,0,53,11,43.67249167,-79.37812881,0,6,46
850,850,739000,622.85,65893,33069,720,1025,North York,2,1,1,12.0,55,39,2,4,94,25,10,38,0,10,8,21,2,18,51,9,5,36,20,18,11,54,46,3,0,1,2,92,53,2,33,12,43.78399689,-79.41604042,0,3,8
851,851,589999,878.96,93816,36800,1299,457,Etobicoke,2,2,1,44.0,29,61,0,0,14,39,13,10,4,0,17,33,5,24,19,14,5,25,20,20,16,79,20,9,1,1,27,52,66,3,27,4,43.64262894,-79.55882461,1,1,22
852,852,579000,667.87,54556,26101,731,791,Scarborough,2,1,1,45.0,41,54,0,5,49,63,0,13,1,5,20,34,6,22,16,23,9,21,21,19,9,34,65,6,1,4,6,60,68,3,25,3,43.76673356,-79.19619216,0,1,42
853,853,689900,517.63,116975,62494,631,1093,Downtown,1,1,1,5.0,35,30,0,0,100,69,9,5,0,0,4,12,3,22,59,7,1,41,28,15,8,60,40,0,0,1,9,84,37,0,57,6,43.65393888,-79.35447161,1,0,84
854,854,699900,634.63,114472,45412,849,827,Etobicoke,2,2,1,3.0,45,47,0,4,65,66,17,4,0,0,13,24,9,23,29,13,4,21,23,22,17,71,28,59,0,3,3,34,61,4,29,6,43.6345965,-79.5410676,0,1,6
855,855,649000,454.03,65954,31838,602,1078,Scarborough,2,1,1,17.0,31,64,0,3,75,34,0,45,0,3,11,26,2,27,33,14,4,30,22,17,13,64,36,0,0,0,0,100,58,2,32,7,43.78172069,-79.24736855,0,3,12
856,856,549900,311.53,105693,53342,499,1102,Downtown,1,1,1,9.0,33,26,0,4,96,73,6,5,0,2,9,16,3,22,49,8,3,36,27,18,9,50,50,0,1,0,9,85,37,0,56,7,43.65258839,-79.36379124,0,0,112
857,857,649999,615.57,112927,55024,649,1006,Midtown | Central,1,2,1,5.0,58,31,2,5,93,68,8,2,0,2,7,16,3,20,54,8,2,33,24,17,16,29,71,1,0,0,3,94,36,0,58,6,43.69682469,-79.39399014,1,6,10
858,858,845000,883.36,205691,89586,849,998,Midtown | Central,1,2,1,18.0,54,32,6,2,92,70,9,2,0,2,2,13,2,19,62,6,2,26,18,19,28,37,63,3,1,1,16,78,40,0,54,6,43.68924162,-79.39524851,1,1,10
859,859,1365000,804.74,93973,41938,1142,1195,Downtown,2,2,1,18.0,27,19,1,5,94,52,4,31,0,3,17,21,2,15,42,5,2,54,18,11,8,41,58,0,0,1,11,85,31,1,55,13,43.65037414,-79.39351756,1,2,154
860,860,919000,1675.04,125745,52113,1791,513,Etobicoke,3,3,2,45.0,26,65,0,2,7,52,12,3,0,0,9,23,4,20,42,11,5,12,16,26,29,88,11,27,3,0,0,65,64,1,32,3,43.63809226,-79.58398759,0,1,6
861,861,659000,517.76,90646,44917,649,1020,North York,1,1,1,6.0,48,42,0,6,94,29,5,37,0,14,5,18,2,16,58,9,4,38,21,15,13,55,44,5,0,1,2,91,50,1,41,8,43.76033236,-79.41165224,1,3,22
862,862,1485000,2094.6,324576,130976,1720,863,Midtown | Central,2,2,1,41.0,43,32,6,4,90,82,3,4,0,2,5,12,1,15,64,13,4,23,20,22,19,50,49,11,18,2,30,25,56,0,40,4,43.68041476,-79.39857575,0,1,18
863,863,799900,407.04,81762,29025,640,1248,Downtown,1,2,1,1.0,31,21,3,11,86,59,7,26,0,0,19,30,1,12,35,5,4,45,13,15,18,25,74,2,5,5,65,17,29,2,46,23,43.65803253,-79.39777849,1,1,94
864,864,489000,579.5,96214,42325,535,914,Downtown,1,1,1,33.0,34,19,3,11,86,70,6,9,0,0,8,20,4,17,48,5,4,37,22,21,11,32,68,0,1,1,12,84,31,0,57,12,43.66016497,-79.37616572,1,2,100
865,865,2089900,1692.0,114403,51205,2250,940,Downtown,3,4,2,23.0,37,33,0,2,98,73,6,5,0,2,12,19,5,23,39,8,2,39,27,16,8,44,56,0,1,2,18,66,39,0,54,7,43.65600865,-79.35795319,1,1,110
866,866,1388000,1123.2,135825,60478,2250,624,Etobicoke,3,3,3,41.4,23,74,2,4,53,63,17,2,0,0,12,18,5,17,45,14,4,24,27,20,11,77,22,31,2,4,11,35,60,2,35,4,43.6280135,-79.49280325,0,1,14
867,867,1750000,1410.2,101140,43606,2750,641,Downtown,3,3,2,23.0,40,26,3,13,84,62,9,17,0,0,13,23,4,19,38,11,3,25,23,22,16,21,78,2,4,2,28,57,41,1,49,10,43.66501436,-79.37134583,1,1,120
868,868,999000,798.0184,79025,34164,1423,701,Etobicoke,3,2,1,34.5,31,61,0,0,6,41,9,22,0,0,21,29,6,20,24,20,6,19,21,20,14,43,55,33,3,2,0,59,73,3,20,4,43.68454294,-79.56554963,0,1,30
869,869,795000,1091.96,319736,117284,949,839,Midtown | Central,1,1,1,39.0,42,30,3,6,91,76,12,2,0,1,5,14,2,18,60,8,3,22,17,22,27,55,45,10,3,1,11,73,46,0,47,6,43.67478668,-79.3851322,0,1,32
870,870,599900,931.16,62428,24409,1032,581,Scarborough,3,2,1,44.0,37,56,0,3,44,34,0,41,0,4,28,31,7,19,15,19,7,21,19,20,15,57,42,7,0,1,0,77,74,5,17,4,43.7499177,-79.2686277,0,1,12
871,871,549900,598.0,65553,28377,1029,534,Scarborough,2,1,1,32.0,32,64,0,3,31,39,2,45,0,0,20,24,5,21,30,18,6,25,22,18,10,71,27,6,1,4,0,52,67,6,21,6,43.79192308,-79.23888526,2,1,14
872,872,485000,713.25,265294,105186,649,751,Midtown | Central,1,1,1,39.7,46,37,5,2,41,71,9,5,0,0,5,17,1,15,58,10,4,22,16,20,28,33,67,14,1,1,15,66,49,0,47,4,43.68519583,-79.40663104,0,1,2
873,873,998000,690.34,115154,51382,904,1103,Downtown,2,2,1,9.0,38,33,0,2,98,73,6,5,0,2,12,19,5,23,39,8,2,39,27,16,8,45,56,1,2,2,18,65,39,0,54,7,43.6564512,-79.35751535,0,6,106
874,874,1699000,2117.67,107820,52191,2280,745,North York,2,3,2,18.0,27,61,0,1,20,53,9,12,0,3,13,18,4,24,41,11,3,14,20,21,32,68,32,19,3,0,10,66,48,1,48,3,43.72077374,-79.34861947,1,1,10
875,875,1299900,898.0,137681,71016,1262,1030,Etobicoke,3,2,1,7.0,24,73,1,8,55,58,15,6,0,2,7,18,4,27,43,7,2,39,24,17,10,76,24,0,0,0,2,94,42,0,53,5,43.62274524,-79.48339267,1,4,16
