,index,condo_price,maint_fee,avg_income_household_yr,avg_income_individual_yr,total_sqft,price_per_sqft,toronto_region,bedrooms,bath,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_grocery_stores,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Asian_language,speak_Africa_language,speak_middleEast_language,edu_no_diploma,edu_high_school,edu_trade_cert,edu_coll_or_univ_cert,edu_ba_or_msc_cert,population_0_14_years,population_15_19_years,population_20_34_years,population_35_49_years,population_50_64_years,population_65_and_more,tenancy_property_type_owned,tenancy_property_type_rented,tenancy_property_type_detached,tenancy_property_type_semi_detached,tenancy_property_type_duplex,tenancy_property_type_low_rise,tenancy_property_type_high_rise,household_compo_singlefamily,household_compo_multifamily,household_compo_singleperson,household_compo_multiperson,latitude,longitude,bedrooms_plus_field,cluster_nbr,criminal_records
1315,1315,910000,1329.0,82472,40119,1253,726,Downtown,2,2,1,31.0,29,18,3,14,83,43,5,23,0,12,5,21,2,12,59,7,5,55,16,11,6,32,68,0,0,0,1,98,32,0,50,18,43.65892395,-79.3840439,1,2,72
1316,1316,1449000,1302.29,108006,55689,1767,820,Downtown,3,3,1,12.0,30,23,0,4,96,69,9,8,0,1,7,17,2,18,53,7,2,38,25,17,10,52,48,0,0,0,10,87,37,0,56,7,43.65232124,-79.37181891,1,6,122
1317,1317,948000,779.41,125447,55879,733,1292,Midtown | Central,2,2,1,2.0,57,32,0,3,97,53,15,8,0,3,5,16,3,22,53,9,3,35,23,15,16,28,72,4,3,1,8,83,39,0,56,5,43.70708264,-79.39777115,1,6,14
1318,1318,769000,520.76,110235,49838,662,1160,North York,1,2,1,4.0,31,59,1,2,48,53,9,12,0,3,12,22,6,24,35,10,4,13,18,20,34,63,37,14,7,0,15,51,52,1,44,3,43.73381862,-79.34678904,1,1,6
1319,1319,699900,746.85,103908,50698,995,703,West End,2,2,1,48.0,38,50,0,1,3,52,26,0,0,0,9,23,6,21,39,17,5,17,20,21,19,73,27,8,0,1,17,73,53,1,44,2,43.63911007,-79.47258856,0,1,16
1320,1320,1495000,1896.37,164314,75767,1099,1371,Midtown | Central,2,2,1,40.5,66,24,3,2,95,74,9,2,0,0,3,16,2,20,58,8,2,23,19,18,29,29,70,3,1,3,5,86,39,0,57,4,43.68785006,-79.38877799,0,1,10
1321,1321,699900,746.85,103908,50698,1099,642,West End,2,2,1,48.0,38,50,0,1,3,52,26,0,0,0,9,23,6,21,39,17,5,17,20,21,19,73,27,8,0,1,17,73,53,1,44,2,43.63911007,-79.47258856,0,1,16
1322,1322,659000,557.46,67909,33479,662,994,Scarborough,2,1,1,12.0,35,59,2,2,96,34,0,50,0,2,12,21,5,25,36,9,5,39,18,16,14,73,27,4,0,1,0,93,48,1,41,10,43.77339993,-79.2558617,0,3,18
1323,1323,1250000,3757.23,212129,83033,2374,528,Midtown | Central,3,2,3,75.0,48,39,1,3,36,74,7,2,0,1,8,18,1,15,56,9,4,22,15,19,32,45,55,10,2,1,20,65,46,0,50,4,43.68783715,-79.41337329,0,1,8
1324,1324,920000,750.4000000000001,59255,28628,1750,536,North York,3,3,1,10.5,33,64,0,0,14,49,16,14,0,0,28,30,7,27,7,20,7,22,23,19,9,74,26,15,26,1,10,32,71,6,19,4,43.73233869,-79.5333915,0,1,12
1325,1325,2495000,1023.43,101548,49440,1455,1714,Midtown | Central,3,3,1,2.0,54,34,1,3,96,53,15,8,0,3,7,17,3,21,51,7,3,36,23,15,15,22,78,1,1,0,9,87,35,0,59,6,43.70872738,-79.39377856,1,6,10
1326,1326,789000,593.76,116638,63282,719,1096,West End,2,2,1,1.0,37,40,4,7,89,73,10,4,0,2,4,13,3,20,58,6,1,52,28,9,4,71,29,0,0,1,14,78,36,0,55,9,43.63956963,-79.41132923,0,2,42
1327,1327,1125000,985.19,84767,39936,1331,845,North York,2,2,1,25.0,41,49,1,3,96,38,4,40,0,10,6,17,2,18,57,12,5,27,23,18,15,75,25,6,1,1,11,79,62,1,30,7,43.77451632,-79.41215503,1,3,8
1328,1328,699000,579.89,97465,49090,738,947,Downtown,2,2,1,11.0,33,29,0,4,96,56,8,18,0,5,3,15,1,15,65,7,2,63,17,7,3,49,51,0,0,0,0,99,35,0,49,16,43.64050653,-79.39690106,0,5,124
1329,1329,557800,247.15,133203,59331,403,1381,Downtown,1,1,1,1.0,39,32,0,0,100,73,6,5,0,2,8,15,4,23,49,8,1,37,29,16,8,51,49,1,2,2,17,66,39,0,54,6,43.65518742,-79.3548449,0,0,88
1330,1330,699900,647.91,122928,64650,649,1084,Downtown,1,1,1,32.0,36,40,4,4,92,76,10,4,0,1,7,14,3,21,55,8,1,44,30,12,6,72,28,0,1,5,20,64,40,0,52,8,43.64239505,-79.41502461,0,6,48
1331,1331,565000,748.0,52578,23508,996,567,North York,3,2,1,44.0,40,50,0,3,35,58,4,5,12,0,30,34,5,17,11,22,7,23,19,18,10,35,64,7,7,3,15,57,68,5,20,8,43.75978787,-79.50902967,0,1,78
1332,1332,895000,715.8176000000001,98399,32406,1868,479,Etobicoke,3,3,2,43.7,20,77,0,0,8,49,0,40,0,0,18,31,2,19,29,15,5,28,18,21,14,76,15,34,4,23,4,27,66,12,16,6,43.72342801,-79.62076579,0,1,14
1333,1333,749900,431.03,62661,27406,1299,580,North York,3,3,1,13.0,24,73,0,2,27,23,28,39,0,0,31,25,6,17,20,18,6,21,20,18,16,64,34,7,27,1,16,17,72,6,19,3,43.74607272,-79.56323999,0,1,48
1334,1334,565000,659.3,49790,25574,949,597,East York,2,1,1,49.0,61,30,0,5,53,32,0,44,0,0,14,23,5,17,40,22,5,23,24,17,10,34,66,1,0,0,2,96,64,2,27,7,43.69627452,-79.29275855,0,1,56
1335,1335,899000,792.55,116970,59759,949,949,Etobicoke,2,2,1,9.0,26,69,0,8,58,50,20,2,0,0,8,19,4,28,42,8,2,32,23,21,14,65,35,1,1,0,9,82,46,1,49,5,43.62165465,-79.48318804,0,4,18
1336,1336,1098000,699.79,189521,84898,1299,850,Midtown | Central,2,3,3,29.0,61,27,3,2,95,74,9,2,0,0,2,15,2,20,59,7,2,23,19,18,31,34,66,2,1,2,5,87,39,0,57,4,43.68739153,-79.39162466,0,1,10
1337,1337,1695000,1792.31,275296,93922,1299,1312,Downtown,2,2,1,4.0,38,32,2,7,91,63,7,2,0,4,8,16,1,16,55,8,3,27,17,21,25,34,65,5,9,3,23,55,40,1,54,6,43.6756276,-79.39773039,0,1,26
1338,1338,1199000,855.62,82646,39769,1056,1135,Downtown,2,2,1,7.0,32,17,1,16,83,46,4,26,0,5,5,21,2,14,57,6,4,51,17,13,8,29,71,0,0,0,2,97,30,0,53,17,43.65937259,-79.38254386,1,2,76
1339,1339,899000,1488.92,125745,52113,1593,564,Etobicoke,3,3,2,38.4,26,65,0,1,10,52,12,3,0,0,9,23,4,20,42,11,5,12,16,26,29,88,11,27,3,0,0,65,64,1,32,3,43.63737711,-79.58273582,0,1,4
1340,1340,799000,652.6,114213,61910,860,929,Downtown,2,2,1,15.0,26,25,0,6,94,67,7,9,0,4,2,11,3,16,67,4,1,64,21,7,3,59,41,0,0,0,1,99,31,0,57,13,43.64380587,-79.39167165,0,5,146
1341,1341,1369000,1094.096,146643,69088,1180,1159,Etobicoke,3,2,2,10.5,42,51,1,4,73,62,19,2,0,0,10,19,4,20,46,15,3,24,27,20,10,87,13,23,5,3,4,34,65,1,31,4,43.63913923,-79.52521096,0,1,10
1342,1342,999999,1896.57,155373,78816,1552,644,Etobicoke,2,2,3,44.0,26,69,0,2,24,58,15,6,0,2,6,18,3,30,43,6,2,32,23,21,17,79,21,0,0,0,0,98,43,0,52,4,43.63150875,-79.47451876,0,1,22
1343,1343,709000,330.58,86178,41653,445,1590,Downtown,1,1,1,1.0,37,17,0,16,84,42,7,34,0,3,3,18,1,15,59,5,5,51,17,14,8,29,71,0,0,0,6,94,29,0,55,16,43.66453499,-79.38558654,0,2,60
1344,1344,679000,717.17,80284,33384,880,771,Etobicoke,2,2,1,9.0,32,56,0,1,14,39,13,10,4,0,18,33,5,24,18,15,5,32,22,16,10,49,51,2,1,0,11,78,59,2,35,5,43.64066796,-79.55989217,1,1,18
1345,1345,629000,506.83680000000004,71380,28191,549,1154,York Crosstown,1,1,1,20.0,43,52,1,6,60,32,57,6,0,1,37,28,7,15,11,13,6,21,20,22,18,57,39,34,9,7,22,27,58,4,32,5,43.6823623,-79.4714855,1,1,66
1346,1346,2300000,1863.0,253133,102023,2250,1035,Midtown | Central,3,4,4,40.5,42,38,6,2,92,76,6,5,0,0,2,14,1,19,60,7,3,23,17,19,31,40,60,6,3,1,15,74,44,0,50,6,43.68703741,-79.40022412,1,1,6
1347,1347,598000,323.25,84666,41223,444,1344,Downtown,1,1,1,9.0,33,18,1,15,84,38,4,36,0,3,4,19,2,13,61,5,5,53,16,13,8,33,67,0,0,0,2,97,29,0,54,17,43.66203687,-79.38652208,0,2,58
1348,1348,2180200,772.98,143253,60210,1899,1151,East End,2,3,1,0.5,32,57,2,7,74,74,5,1,0,2,14,21,3,16,42,17,4,16,26,23,14,50,50,20,18,3,30,26,53,0,44,3,43.67747104,-79.3022569,1,1,22
1349,1349,2098800,744.12,143253,60210,1899,1108,East End,2,3,1,0.5,32,57,2,7,74,74,5,1,0,2,14,21,3,16,42,17,4,16,26,23,14,50,50,20,18,3,30,26,53,0,44,3,43.67747104,-79.3022569,1,1,22
1350,1350,2595000,2480.16,232856,95809,1699,1532,Midtown | Central,2,3,1,14.0,46,36,6,2,92,76,6,5,0,0,2,14,2,19,61,7,2,24,17,19,31,38,62,5,2,1,15,77,43,0,51,6,43.68732071,-79.39939364,0,1,6
1351,1351,699900,456.1,69691,32701,949,739,Scarborough,2,2,1,16.2,51,42,0,3,32,52,5,27,0,0,23,27,6,24,16,16,6,21,22,22,13,42,56,38,1,9,23,27,64,2,28,5,43.70979199,-79.29538912,0,1,42
1352,1352,899000,706.17,167567,72522,879,1022,East York,2,2,1,4.0,24,62,2,7,47,79,2,5,0,1,11,16,1,20,50,19,6,12,23,21,20,73,27,35,16,1,28,15,63,1,35,2,43.70315108,-79.36131533,0,1,2
1353,1353,1499000,1215.0,82364,39923,2250,675,North York,3,4,1,23.0,42,48,0,4,96,36,8,33,0,9,6,18,2,18,56,10,4,31,21,17,16,71,29,3,0,0,5,88,55,1,35,9,43.77468039,-79.41580964,0,3,8
1354,1354,1458000,2535.0,108288,55585,2125,686,Downtown,2,3,1,38.0,30,23,0,7,93,66,6,8,0,1,7,17,3,20,52,7,2,37,25,17,12,52,48,0,0,0,9,86,38,0,55,7,43.65050018,-79.36953819,1,6,106
1355,1355,839000,608.65,130712,68062,764,1097,Downtown,2,1,1,9.0,27,25,0,4,96,75,9,4,0,2,5,12,2,19,62,3,1,61,24,8,3,61,39,0,0,0,3,96,29,0,62,10,43.64544904,-79.39629791,0,5,162
1356,1356,1599900,1598.0,80424,38927,2315,691,North York,3,3,2,33.0,46,45,0,3,97,50,8,18,0,6,5,20,1,18,55,9,4,34,21,17,15,58,42,1,0,0,2,97,52,1,38,9,43.7642352,-79.41274064,0,1,20
1357,1357,828000,1017.44,121492,53956,1009,820,Etobicoke,2,2,2,11.0,20,72,2,7,68,66,17,3,0,2,26,18,4,21,27,12,4,31,24,19,9,71,29,18,3,2,19,44,53,2,39,6,43.62394171,-79.4884467,0,4,16
1358,1358,699000,479.17,57279,24599,809,863,Scarborough,2,2,1,11.0,29,62,1,2,70,33,1,51,0,2,18,25,5,25,26,14,4,33,21,17,11,61,39,4,2,2,1,89,56,3,35,7,43.77741649,-79.28121153,0,3,24
1359,1359,759000,1027.46,77535,37592,1362,557,North York,2,2,1,33.0,45,48,1,4,95,18,6,45,0,16,6,19,2,19,55,9,4,35,21,16,14,69,31,1,0,0,4,91,52,1,37,10,43.77721381,-79.41552807,1,3,8
1360,1360,599000,1032.65,96214,42325,1010,593,Downtown,2,2,1,33.0,34,19,3,11,86,70,6,9,0,0,8,20,4,17,48,5,4,37,22,21,11,32,68,0,1,1,12,84,31,0,57,12,43.66016497,-79.37616572,1,2,100
1361,1361,888888,579.45,96028,48450,774,1147,Downtown,2,2,1,5.0,34,20,2,3,95,61,11,5,0,7,7,19,3,20,49,6,3,40,24,19,8,35,64,0,0,0,10,88,33,0,56,11,43.65517143,-79.37565337,1,0,106
1362,1362,1488888,1189.47,98895,51532,1115,1335,Downtown,1,1,1,9.0,28,14,5,7,88,58,6,13,0,6,3,12,3,18,61,3,2,62,18,10,5,41,59,0,0,0,1,99,29,0,58,13,43.64890794,-79.38607578,1,2,114
1363,1363,549900,289.0,111687,61125,488,1125,West End,1,1,1,10.0,38,41,4,5,91,73,9,6,0,0,3,12,2,20,60,5,1,57,26,8,3,69,31,0,0,1,11,83,35,0,56,9,43.63877444,-79.41171849,0,2,40
1364,1364,699000,626.25,110885,51348,672,1039,Midtown | Central,1,1,1,13.0,54,34,1,4,95,59,9,6,0,5,7,15,4,22,52,8,3,35,23,15,16,24,75,2,2,0,11,83,37,0,57,6,43.70837798,-79.39210094,1,6,10
1365,1365,529000,317.52,99541,51308,390,1353,Downtown,1,1,1,13.0,38,35,1,6,93,63,10,7,0,4,5,14,2,16,60,7,2,58,20,9,4,49,51,0,0,0,1,98,36,0,51,13,43.63670623,-79.40008073,0,5,66
1366,1366,850000,654.11,161859,74285,710,1197,Downtown,1,2,1,6.0,29,24,0,3,97,59,8,15,0,4,4,13,2,18,63,7,2,39,22,17,12,45,55,0,0,0,0,99,42,0,50,8,43.64171041,-79.37170591,1,0,40
1367,1367,599999,725.0,70686,32359,903,664,North York,2,1,1,47.0,35,61,1,5,26,36,8,23,0,5,20,21,5,24,29,20,6,19,20,18,16,61,39,0,0,0,3,84,66,3,26,4,43.71923046,-79.32651875,1,1,36
1368,1368,581900,520.98,65499,31508,631,922,Scarborough,1,1,1,17.0,31,64,0,2,75,34,0,45,0,3,12,26,2,27,33,14,4,30,22,17,13,63,37,0,0,0,0,100,58,2,32,7,43.78188042,-79.24639103,1,3,16
1369,1369,519900,302.85,118212,59974,403,1287,Downtown,1,1,1,5.0,27,24,0,4,96,75,9,4,0,2,10,15,2,18,53,4,1,59,23,9,4,56,44,0,0,0,5,93,29,0,61,10,43.6464433,-79.39802824,0,5,168
1370,1370,749900,399.82,107134,61408,654,1145,Downtown,1,1,1,8.0,25,22,1,6,93,64,8,11,0,3,2,10,4,15,67,4,1,64,20,8,3,58,42,0,0,0,1,99,31,0,56,13,43.64406174,-79.3894386,1,5,118
1371,1371,1099900,641.37,124108,62680,749,1474,Downtown,2,2,1,3.0,26,22,1,1,98,66,5,12,0,1,5,13,2,19,62,6,2,42,22,16,13,46,54,0,0,0,2,98,37,0,55,8,43.6484128,-79.37646653,1,0,98
1372,1372,598000,399.0,55618,23708,549,1097,Scarborough,1,1,1,2.5,27,63,1,3,95,33,1,51,0,2,17,25,4,26,27,13,4,37,21,16,9,71,29,3,1,2,1,90,54,3,36,8,43.779654,-79.282927,0,3,16
1373,1373,1590000,1339.19,115505,56680,1588,1001,Downtown,1,2,1,33.0,31,30,0,5,95,65,6,9,0,4,2,14,1,16,66,6,2,55,22,9,5,54,46,0,0,0,0,99,37,0,50,12,43.63758456,-79.39393464,1,2,78
1374,1374,579000,460.77,86990,41812,521,1111,North York,2,1,1,1.0,41,55,0,0,68,55,12,13,0,2,20,19,7,19,33,15,5,24,25,19,12,34,66,17,0,8,35,38,57,2,36,5,43.7335832,-79.4473452,0,1,30
1375,1375,1239000,990.2280000000001,85502,30105,2685,461,Scarborough,3,2,3,42.5,25,72,0,2,27,30,0,61,0,2,19,31,4,20,25,17,7,21,19,23,14,97,0,48,26,5,2,0,79,12,6,3,43.8191338,-79.28138286,1,1,4
1376,1376,1699000,873.71,76382,39417,1210,1404,Downtown,2,3,1,3.0,35,18,0,6,94,63,9,9,0,0,10,23,4,26,36,10,3,26,25,22,14,15,85,0,0,5,8,72,38,1,55,7,43.64607504,-79.36500852,1,6,48
1377,1377,499900,354.08,98020,49959,432,1155,Downtown,1,1,1,11.0,27,16,5,6,89,60,5,17,0,4,6,14,3,18,57,3,2,61,17,9,6,41,59,0,0,0,1,98,28,0,59,13,43.64899033,-79.38700806,0,5,116
1378,1378,845000,692.0,69898,34423,704,1199,North York,2,1,2,14.0,50,44,3,4,93,34,6,34,0,6,7,20,2,19,52,8,5,38,19,16,13,63,37,2,1,1,1,91,50,1,37,12,43.77866059,-79.41794987,0,3,6
1379,1379,765000,697.84,108266,54958,821,931,Etobicoke,2,2,1,10.0,26,69,1,7,60,57,20,2,0,0,9,19,4,27,40,10,3,29,23,22,14,62,38,2,1,0,14,72,49,1,46,5,43.6214794,-79.483972,0,4,18
1380,1380,883000,471.14,80297,31485,1299,683,North York,3,3,2,27.2,33,62,0,3,13,22,5,57,0,2,17,18,3,20,40,13,7,20,20,22,19,84,12,30,14,6,13,21,76,4,14,6,43.79853238,-79.35592245,0,1,4
1381,1381,3279000,2894.46,161582,72089,1454,2255,Midtown | Central,2,2,2,40.0,54,32,3,3,54,81,7,0,0,1,7,19,2,14,56,7,2,22,14,18,36,33,67,4,0,1,13,80,44,0,52,3,43.68345542,-79.41200391,0,1,10
1382,1382,689999,799.83,65475,27117,1227,562,Scarborough,2,2,1,30.0,32,64,0,2,15,45,1,41,0,2,18,36,7,22,18,18,6,20,20,19,16,66,33,21,4,7,5,52,69,6,22,3,43.810167,-79.221126,1,1,60
1383,1383,499900,556.0,49790,25574,849,590,East York,1,1,1,49.0,61,30,0,5,53,32,0,44,0,0,14,23,5,17,40,22,5,23,24,17,10,34,66,1,0,0,2,96,64,2,27,7,43.69627452,-79.29275855,0,1,56
1384,1384,763000,484.44,111272,46294,654,1165,North York,1,1,1,10.0,25,69,0,0,10,39,4,30,0,10,5,25,5,19,47,12,3,21,21,18,25,69,30,14,0,1,0,58,65,1,30,4,43.77398672,-79.35950465,1,1,8
1385,1385,599000,456.68,66511,25440,1299,463,North York,4,2,1,46.0,37,59,0,2,25,28,3,47,0,6,15,28,6,22,29,15,8,24,19,21,13,60,35,5,16,1,14,51,72,6,14,8,43.79243939,-79.33577166,0,1,30
1386,1386,560000,831.32,63108,29263,980,571,North York,2,1,1,46.0,38,58,0,6,40,43,7,29,0,3,17,31,8,21,22,16,6,20,22,21,15,33,67,6,9,2,8,72,62,2,31,5,43.76302772,-79.32080317,0,1,24
1387,1387,579900,718.32,76683,33456,1299,449,Etobicoke,3,2,1,50.0,27,66,1,0,10,33,3,20,26,0,32,30,5,18,13,20,7,19,17,17,20,66,33,17,1,1,0,78,67,4,23,6,43.69683093,-79.55253089,0,1,40
1388,1388,860000,605.54,137681,71016,802,1071,Etobicoke,2,2,1,3.0,24,73,1,7,55,58,15,6,0,2,7,18,4,27,43,7,2,39,24,17,10,76,24,0,0,0,2,94,42,0,53,5,43.62322126,-79.48393449,1,4,16
1389,1389,739000,424.94,131891,49267,1099,677,Scarborough,2,2,1,7.0,22,71,1,1,20,64,3,17,0,1,13,27,5,26,29,15,7,19,18,23,18,83,16,66,0,8,5,0,76,5,16,2,43.78292313,-79.16864375,0,1,6
1390,1390,809000,387.81,101814,51665,600,1348,Downtown,1,1,1,8.0,37,33,1,5,94,62,12,10,0,3,4,14,2,17,61,7,2,58,20,9,4,49,51,0,0,0,0,99,36,0,51,13,43.63740354,-79.39910601,1,5,76
1391,1391,688000,501.42,66119,32179,664,1035,North York,1,1,1,8.0,38,53,1,5,84,26,2,41,0,10,10,26,4,21,38,13,5,28,21,18,15,54,46,1,5,1,2,82,57,2,34,7,43.77534843,-79.33737823,1,3,26
1392,1392,1199999,796.4,121543,67826,963,1245,Downtown,2,2,1,5.0,30,30,1,3,96,75,9,4,0,2,5,15,2,21,57,6,1,51,27,11,5,63,37,0,0,1,7,89,33,0,58,9,43.64375685,-79.40135103,0,0,138
1393,1393,699900,958.71,95380,41394,1330,526,Etobicoke,3,2,1,45.0,25,70,0,1,7,40,17,3,6,3,18,30,8,24,20,14,6,19,18,23,20,72,26,25,2,1,0,69,71,3,24,3,43.65569251,-79.57109214,1,1,28
1394,1394,1050000,295.6,76111,34362,1600,656,Etobicoke,2,3,2,18.0,46,46,0,1,51,74,17,2,0,0,20,26,5,25,23,16,6,23,22,21,12,35,65,20,4,1,36,33,51,1,42,6,43.60037316,-79.50810118,1,1,24
1395,1395,725000,578.77,65318,30787,701,1034,Downtown,1,1,1,7.0,41,30,2,9,89,50,10,17,0,4,21,26,5,17,29,14,7,33,22,17,7,26,74,1,2,0,18,67,48,1,43,8,43.65940364,-79.36117847,1,6,122
1396,1396,1188000,890.4,83212,39565,1899,627,North York,3,3,2,32.2,39,51,1,5,94,18,3,52,0,15,5,18,2,18,57,12,5,28,23,17,14,76,24,2,0,0,11,85,62,1,30,7,43.77559576,-79.41139828,1,3,8
1397,1397,899000,330.0,81654,42305,949,949,North York,2,2,1,12.0,43,50,1,2,70,42,24,15,0,0,19,28,5,21,25,17,6,22,21,20,15,50,50,29,0,7,40,13,61,3,30,5,43.71505867,-79.44809543,0,1,78
1398,1398,850000,569.49,120222,60225,682,1245,Downtown,1,2,1,8.0,26,20,2,7,91,56,9,16,0,5,5,12,3,17,61,3,1,63,19,8,5,53,47,0,0,0,2,98,29,0,59,12,43.64714584,-79.39115534,1,5,156
1399,1399,968000,457.87,131316,61086,530,1826,Downtown,1,1,1,5.0,42,18,1,8,91,45,5,25,0,4,3,16,2,16,62,6,3,45,19,13,14,29,71,0,0,0,3,96,35,0,55,10,43.67008451,-79.38640055,0,2,32
1400,1400,1399900,905.37,126147,66059,1155,1212,Downtown,2,2,1,10.0,27,23,1,4,95,71,7,8,0,3,3,11,3,17,65,3,1,64,21,8,3,59,41,0,0,0,2,98,29,0,60,11,43.64566891,-79.39306069,1,5,166
1401,1401,798000,710.01,99562,52905,749,1069,North York,2,2,1,19.0,48,43,2,7,91,34,10,23,0,13,3,15,1,15,65,10,3,40,26,13,7,70,30,3,0,0,14,79,50,1,43,7,43.75666579,-79.40778431,0,3,16
1402,1402,520000,439.0,317705,122914,499,1042,Downtown,1,1,1,5.0,33,33,1,4,95,70,10,4,0,2,3,18,3,14,61,4,3,25,15,21,32,43,57,1,3,1,5,88,39,0,56,5,43.67031176,-79.39429856,0,1,26
1403,1403,1488000,1221.52,264817,94981,949,1571,Downtown,2,2,1,1.0,37,32,1,6,93,70,10,4,0,2,7,17,2,16,56,7,3,26,17,21,27,36,63,4,8,2,17,65,40,0,55,5,43.67429677,-79.39606549,1,1,28
1404,1404,599900,429.84,59322,30421,624,960,Scarborough,1,1,1,10.0,34,60,2,2,96,34,0,50,0,2,10,23,4,28,35,8,5,44,18,15,10,62,38,1,0,0,0,97,46,0,42,12,43.77346973,-79.25363232,1,3,16
1405,1405,899000,497.25,98845,51273,777,1156,Downtown,2,2,1,7.0,38,35,1,6,93,63,10,7,0,4,5,14,2,17,61,7,2,58,20,9,4,50,50,0,0,0,1,98,36,0,51,13,43.6375103,-79.40058038,0,5,70
1406,1406,809000,551.52,79154,33012,854,947,West End,2,2,1,8.0,46,43,1,9,90,47,26,12,0,0,28,24,4,20,21,10,3,36,24,17,10,40,60,5,6,4,25,55,45,3,43,10,43.66508445,-79.4475094,1,1,60
1407,1407,699999,855.34,64004,26454,1008,694,Scarborough,2,2,1,24.0,29,67,0,2,33,17,0,68,0,2,23,34,3,18,22,13,5,18,17,24,23,75,24,9,4,2,2,68,68,5,23,3,43.80691036,-79.26662641,1,1,8
1408,1408,649900,1196.33,346562,138404,849,767,Midtown | Central,1,1,1,75.0,31,44,5,9,86,80,8,1,0,0,1,22,0,16,58,10,3,12,16,22,36,78,22,16,9,3,37,30,54,1,42,3,43.67347311,-79.3714268,0,1,38
1409,1409,1095000,968.44,127722,67527,1050,1042,Downtown,2,2,1,7.0,29,30,1,2,97,75,9,4,0,2,4,13,2,20,61,5,1,56,25,9,4,62,38,0,0,0,4,94,31,0,59,9,43.64340575,-79.39913252,1,0,150
1410,1410,539000,694.27,91337,43823,649,834,Downtown,1,1,1,38.0,28,14,3,7,90,51,4,27,0,3,8,19,2,17,52,6,3,51,17,12,11,36,64,0,0,0,5,93,30,0,55,14,43.65195512,-79.38946757,0,2,122
1411,1411,899000,732.81,90646,44917,849,1062,North York,2,2,1,6.0,48,42,0,6,94,29,5,37,0,14,5,18,2,16,58,9,4,38,21,15,13,55,44,5,0,1,2,91,50,1,41,8,43.76033236,-79.41165224,1,3,22
1412,1412,3999000,1201.8,134207,60784,2792,1432,Downtown,4,4,2,6.0,39,18,0,7,93,37,6,41,0,2,3,17,1,14,64,6,5,49,15,12,13,27,73,0,0,0,3,97,33,0,53,14,43.66707152,-79.38941006,0,1,34
1413,1413,688000,820.99,83466,40115,699,983,Downtown,1,1,1,31.0,34,18,1,14,85,38,4,36,0,3,5,19,2,14,59,5,5,52,17,14,8,31,69,0,0,0,3,97,29,0,54,17,43.66161661,-79.38467969,1,2,66
1414,1414,649900,470.0,55863,22641,1099,596,Etobicoke,2,2,1,51.0,31,66,0,3,16,18,4,32,0,11,26,31,4,12,26,22,9,22,22,16,9,40,60,5,1,4,0,78,79,7,9,5,43.74387039,-79.58670767,0,1,56
1415,1415,2795000,2363.92,317399,122614,1843,1516,Downtown,2,3,2,22.0,35,32,1,4,95,70,9,6,0,1,2,19,3,14,60,4,4,27,14,20,31,43,57,2,4,1,6,86,39,0,55,5,43.67021752,-79.39510834,0,1,26
1416,1416,759000,409.85,111762,61294,641,1184,West End,1,1,1,6.0,37,41,4,4,92,73,10,4,0,2,3,11,2,20,60,5,1,59,26,7,2,71,29,0,0,1,9,85,35,0,56,9,43.63865618,-79.41245834,1,2,38
1417,1417,658000,424.61,114500,62312,495,1329,Downtown,1,1,1,5.0,35,30,0,1,99,69,9,5,0,0,4,12,3,22,59,7,1,41,28,15,8,61,39,0,0,1,9,85,37,0,57,6,43.65269303,-79.3565351,0,0,92
1418,1418,899000,733.6,81751,37616,1750,524,North York,3,3,1,2.5,19,72,0,2,16,46,46,8,0,0,34,28,7,10,10,10,5,16,21,21,26,75,25,83,9,6,3,0,68,9,19,3,43.73632205,-79.47663795,0,1,22
1419,1419,499900,581.12,65557,26731,917,545,Etobicoke,2,1,1,50.0,32,65,1,0,12,33,3,20,26,0,35,30,5,17,12,21,8,21,18,17,14,54,45,17,1,3,3,73,66,5,22,7,43.69591518,-79.55615774,0,1,40
1420,1420,799000,595.14,113415,63066,895,892,West End,2,2,1,8.0,34,42,0,5,95,73,10,4,0,2,3,10,2,20,61,5,1,62,25,5,2,74,26,0,0,1,8,87,35,0,56,9,43.63799092,-79.41490443,1,2,34
1421,1421,838000,548.08,97813,50735,737,1136,Downtown,1,1,1,6.0,38,34,1,5,94,56,8,18,0,5,5,15,2,16,61,7,2,60,20,8,3,51,49,0,0,0,1,98,35,0,51,13,43.63883336,-79.39883876,1,5,94
1422,1422,638000,399.76,55618,23708,514,1239,Scarborough,1,1,1,2.5,27,63,1,3,95,33,1,51,0,2,17,25,4,26,27,13,4,37,21,16,9,71,29,3,1,2,1,90,54,3,36,8,43.779654,-79.282927,0,3,16
1423,1423,669000,429.87,98179,50162,621,1076,Downtown,1,1,1,17.0,33,20,4,6,90,61,7,14,0,3,6,20,2,15,55,6,3,45,22,16,8,34,66,0,0,0,5,95,33,0,53,13,43.65471137,-79.37920732,0,2,94
1424,1424,549900,770.0,57068,23146,1296,424,Etobicoke,2,2,1,28.0,32,65,0,0,2,34,2,14,0,12,23,36,6,18,17,21,8,22,21,17,11,50,48,10,0,4,1,85,76,6,13,5,43.75120645,-79.58286068,0,1,26
