MLS_number_condo,maint_fee,avg_income_household_yr,total_sqft,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Africa_language,edu_no_diploma,edu_trade_cert,edu_coll_or_univ_cert,population_35_49_years,tenancy_property_type_semi_detached,tenancy_property_type_low_rise,bedrooms_plus_field,East End,East York,Etobicoke,Midtown | Central
C5604342,651.15,73439,747,1,50.0,32,60,0,51,46,3,0,19,7,21,20,8,4,0,0.0,0.0,0.0,0.0
C5593672,432.47,118306,549,1,10.0,43,46,0,13,25,3,0,9,0,25,20,1,1,0,0.0,0.0,0.0,0.0
C5583132,555.23,89097,683,1,16.0,43,37,2,93,63,10,0,6,3,18,22,0,1,1,0.0,0.0,0.0,0.0
C5604534,279.8,122088,366,1,5.0,28,21,5,90,58,6,0,4,2,15,21,0,2,0,0.0,0.0,0.0,0.0
C5605300,546.23,98637,698,1,6.0,39,34,1,95,56,8,0,5,2,16,20,0,1,0,0.0,0.0,0.0,0.0
C5565804,483.62,161859,731,1,6.0,29,24,0,97,59,8,0,4,2,18,22,0,0,0,0.0,0.0,0.0,0.0
C5583495,1368.41,145042,1673,2,7.0,28,22,0,99,57,5,0,4,2,19,21,0,1,1,0.0,0.0,0.0,0.0
C5576375,579.67,80835,772,1,1.0,38,57,0,36,46,7,0,15,2,24,24,25,32,0,0.0,0.0,0.0,0.0
C5591133,368.0,101548,546,1,2.0,54,34,1,96,53,15,0,7,3,21,23,1,9,1,0.0,0.0,0.0,1.0
W5589194,506.1,155193,499,1,2.5,28,68,0,49,61,13,0,6,4,30,23,0,0,1,0.0,0.0,1.0,0.0
C5555282,490.0,130890,699,1,2.0,39,52,0,13,25,3,0,8,0,23,19,1,1,0,0.0,0.0,0.0,0.0
E5590294,408.56,73208,664,1,10.0,22,69,0,64,38,6,0,22,2,24,18,1,0,0,0.0,0.0,0.0,0.0
C5557344,330.0,70102,1299,1,10.0,49,45,3,93,18,3,0,6,2,20,19,1,1,1,0.0,0.0,0.0,0.0
C5497719,1723.55,108117,1774,1,31.0,27,15,2,94,58,6,0,2,4,17,19,0,1,1,0.0,0.0,0.0,0.0
C5570354,605.63,70355,780,1,1.0,53,36,0,55,58,10,0,28,6,20,23,5,30,0,0.0,0.0,0.0,1.0
C5606688,1270.59,249555,1520,1,11.0,41,25,1,94,77,6,0,2,3,13,14,4,9,1,0.0,0.0,0.0,0.0
C5580118,715.94,94866,964,1,15.0,50,40,1,92,21,4,0,5,2,14,23,0,9,0,0.0,0.0,0.0,0.0
C5590486,650.13,204039,580,1,13.0,57,30,4,94,65,11,0,2,2,19,19,2,8,0,0.0,0.0,0.0,1.0
